date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus_Weekend,Day_of_week_Friday,Day_of_week_Saturday,Day_of_week_Sunday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load
11/08/2018 13:00,4.21,0.0,18.14,0.0,100.0,22.61,46800,1,0,1,0,0,0,0,0,1
23/08/2018 03:00,5.62,10.69,0.0,0.0,46.53,100.0,10800,0,0,0,0,1,0,0,0,0
28/08/2018 08:45,53.24,50.0,0.0,0.02,72.89,100.0,31500,0,0,0,0,0,1,0,0,0
08/11/2018 14:45,52.13,27.14,0.0,0.02,88.7,100.0,53100,0,0,0,0,1,0,0,0,1
27/09/2018 09:30,46.91,21.74,0.0,0.02,90.73,100.0,34200,0,0,0,0,1,0,0,0,1
09/03/2018 02:00,4.93,3.64,0.0,0.0,80.45,100.0,7200,0,1,0,0,0,0,0,0,0
13/11/2018 09:45,115.34,48.02,0.0,0.05,92.32,100.0,35100,0,0,0,0,0,1,0,0,1
25/11/2018 06:30,2.88,2.84,0.0,0.0,71.2,100.0,23400,1,0,0,1,0,0,0,0,0
23/10/2018 11:15,54.0,33.16,0.0,0.02,85.22,100.0,40500,0,0,0,0,0,1,0,1,0
20/09/2018 01:00,2.77,4.97,0.0,0.0,48.68,100.0,3600,0,0,0,0,1,0,0,0,0
15/02/2018 16:00,4.75,0.0,26.32,0.0,100.0,17.76,57600,0,0,0,0,1,0,0,0,0
14/09/2018 07:45,3.71,4.97,0.0,0.0,59.82,100.0,27900,0,1,0,0,0,0,0,0,0
15/02/2018 10:45,3.89,0.0,23.4,0.0,100.0,16.4,38700,0,0,0,0,1,0,0,0,0
25/11/2018 00:15,3.38,2.77,0.0,0.0,77.34,100.0,900,1,0,0,1,0,0,0,0,0
02/08/2018 13:00,2.88,0.0,16.92,0.0,100.0,16.78,46800,0,0,0,0,1,0,0,0,0
25/11/2018 17:15,2.95,0.0,14.4,0.0,100.0,20.07,62100,1,0,0,1,0,0,0,0,0
28/01/2018 18:15,6.37,0.0,10.37,0.0,100.0,52.34,65700,1,0,0,1,0,0,0,1,0
17/08/2018 10:00,42.12,21.31,0.0,0.02,89.23,100.0,36000,0,1,0,0,0,0,0,0,1
21/02/2018 16:00,124.42,47.88,0.0,0.06,93.33,100.0,57600,0,0,0,0,0,0,1,0,1
29/08/2018 20:15,46.98,19.51,0.0,0.02,92.35,100.0,72900,0,0,0,0,0,0,1,0,1
17/05/2018 14:15,116.32,55.19,0.0,0.05,90.35,100.0,51300,0,0,0,0,1,0,0,1,0
06/10/2018 08:45,48.35,49.64,0.0,0.02,69.77,100.0,31500,1,0,1,0,0,0,0,0,0
21/08/2018 03:30,2.7,5.18,0.0,0.0,46.22,100.0,12600,0,0,0,0,0,1,0,0,0
11/04/2018 06:15,3.28,4.79,0.0,0.0,56.5,100.0,22500,0,0,0,0,0,0,1,0,0
01/12/2018 15:45,4.75,0.0,20.77,0.0,100.0,22.29,56700,1,0,1,0,0,0,0,0,1
27/08/2018 23:30,2.66,4.14,0.0,0.0,54.06,100.0,84600,0,0,0,0,0,0,0,0,0
17/08/2018 03:15,3.06,5.29,0.0,0.0,50.07,100.0,11700,0,1,0,0,0,0,0,0,0
04/08/2018 10:30,2.74,0.0,17.39,0.0,100.0,15.56,37800,1,0,1,0,0,0,0,0,0
10/10/2018 11:00,120.82,59.15,0.0,0.06,89.81,100.0,39600,0,0,0,0,0,0,1,1,0
24/06/2018 16:45,4.0,0.0,25.85,0.0,100.0,15.29,60300,1,0,0,1,0,0,0,1,0
18/06/2018 02:00,2.77,4.14,0.0,0.0,55.61,100.0,7200,0,0,0,0,0,0,0,0,0
27/07/2018 16:00,55.08,18.25,0.0,0.03,94.93,100.0,57600,0,1,0,0,0,0,0,1,0
24/05/2018 06:30,2.95,5.22,0.0,0.0,49.2,100.0,23400,0,0,0,0,1,0,0,0,0
22/04/2018 13:15,17.35,0.5,10.51,0.01,99.96,85.53,47700,1,0,0,1,0,0,0,1,0
